Organization Code,Orgnazation Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Percent Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,All Students Completion Rate,Female Graduation Rate,Male Graduation Rate,Female Completion Rate,Male Completion Rate,Pupil/Teacher Ratio,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count,Total FTE,Average Salary
2395,BRUSH RE-2(J),3,4,8,697,779,1,14,0.483,17,0.61,1428,0.93,0.93,0.964,0.889,0.964,0.889,15.555,0,0,0,0,0,0,2,0,2,8,6,14,0,0,0,0,0,0,70,14,84,100,97.38,40540
2405,FORT MORGAN RE-3,21,18,143,1978,1077,0,47,0.672,17,0.67,3090,0.776,0.784,0.843,0.719,0.843,0.733,15.41875,0,1,1,0,0,0,0,0,0,13,1,14,1,0,1,0,0,0,140,48,188,204,200.17,41133
2505,WELDON VALLEY RE-20(J),0,2,0,37,193,0,2,0.175,17,0.36,208,1,1,1,1,1,1,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,7,18,19,17.75,36813
2515,WIGGINS RE-50(J),5,5,2,162,412,0,20,0.32,17,0.42,547,0.955,0.955,1,0.9,1,0.9,16.89666667,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,24,9,33,36,35.97,40663
2520,EAST OTERO R-1,8,4,11,939,432,11,18,0.696,17,0.74,1423,0.904,0.904,0.946,0.87,0.946,0.87,15.56333333,0,0,0,0,1,1,0,1,1,12,1,13,0,0,0,0,1,1,59,15,74,90,89.97,37677
2530,ROCKY FORD R-2,7,3,1,626,153,0,6,0.808,17,0.76,796,1,1,1,1,1,1,13.25333333,0,0,0,0,0,0,1,0,1,13,3,16,0,0,0,1,1,2,26,14,40,59,59.43,37341
2535,MANZANOLA 3J,0,0,1,72,62,0,5,0.557,17,0.67,136,0.944,0.944,1,0.917,1,0.917,8.64,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,17,3,20,22,16.2,33291
2540,FOWLER R-4J,0,0,2,93,282,1,5,0.264,17,0.56,383,0.813,0.844,0.875,0.75,0.875,0.813,10.91333333,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,1,0,1,20,11,31,37,34.92,38050
2560,CHERAW 31,0,1,0,50,156,0,0,0.246,17,0.53,192,0.706,0.824,0.8,0.667,0.8,0.833,12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17,17,17.06,37806
2570,SWINK 33,1,9,8,95,249,0,10,0.331,17,0.47,372,1,1,1,1,1,1,13.255,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,1,22,5,27,31,28.18,37524
2580,OURAY R-1,1,3,0,21,145,0,1,0.152,17,0.34,155,0.929,1,1,0.833,1,1,7.253333333,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,4,25,26,22.73,49007
2590,RIDGWAY R-2,2,3,0,30,303,0,17,0.146,17,0.25,325,0.938,1,0.875,1,1,1,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,12,33,34,29.91,43977
2600,PLATTE CANYON 1,10,8,3,97,754,0,56,0.188,17,0.29,842,0.9,0.9,1,0.825,1,0.825,15.93666667,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,44,13,57,60,57.44,44419
2610,PARK COUNTY RE-2,5,3,6,112,559,1,44,0.234,17,0.46,660,0.808,0.808,0.833,0.75,0.833,0.75,16.016,1,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,35,8,43,47,44.2,39854
2620,HOLYOKE RE-1J,0,2,1,259,320,0,1,0.451,17,0.49,583,0.896,0.896,0.88,0.913,0.88,0.913,13.19666667,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,2,33,10,43,47,47.49,39228
2630,HAXTUN RE-2J,0,1,2,34,305,2,6,0.129,17,0.36,311,1,1,1,1,1,1,13.105,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19,8,27,28,24.6,40372
2640,ASPEN 1,2,24,14,194,1428,3,13,0.149,17,0.05,1652,0.928,0.942,0.958,0.897,0.972,0.912,11.192,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,100,41,141,145,141.15,58972
2650,GRANADA RE-1,0,1,0,156,47,0,0,0.77,17,0.57,195,0.647,0.647,0.429,0.8,0.429,0.8,12.375,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,13,1,14,18,16.58,38394
2660,LAMAR RE-2,10,3,9,892,628,0,24,0.599,17,0.64,1459,0.783,0.819,0.833,0.732,0.881,0.756,17.31,0,0,0,0,0,0,0,0,0,12,4,16,0,0,0,0,1,1,74,19,93,110,104.01,41106
2670,HOLLY RE-3,2,3,1,156,144,0,2,0.532,17,0.69,283,1,1,1,1,1,1,13.27333333,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,17,3,20,24,23.14,36437
2680,WILEY RE-13 JT,1,2,0,56,183,0,7,0.265,17,0.46,226,1,1,1,1,1,1,11.005,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,19,2,21,23,22.93,35595
2690,PUEBLO CITY 60,105,113,334,11849,4210,21,278,0.751,17,0.8,16051,0.79,0.799,0.831,0.748,0.838,0.759,16.91914286,5,1,6,7,2,9,11,7,18,190,67,257,0,1,1,5,3,8,505,189,694,993,1003.87,47617
2700,PUEBLO COUNTY 70,30,66,48,3621,5606,5,485,0.431,17,0.47,9557,0.845,0.85,0.894,0.809,0.894,0.817,19.1025,1,1,2,1,1,2,2,0,2,78,23,101,0,0,0,0,2,2,307,93,400,509,507.27,49328
2710,MEEKER RE1,7,1,2,93,632,0,7,0.148,17,0.34,694,1,1,1,1,1,1,16.47,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,33,10,43,45,43.06,48312
2720,RANGELY RE-4,4,0,0,41,463,0,4,0.096,17,0.31,483,0.931,0.931,0.875,1,0.875,1,14.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,33,33,32.34,43664
2730,DEL NORTE C-7,3,0,0,228,174,0,6,0.577,17,0.56,411,0.909,0.909,0.889,0.933,0.889,0.933,14.09,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,15,8,23,28,28.21,39584
2740,MONTE VISTA C-8,20,1,3,785,331,1,12,0.713,17,0.66,1080,0.78,0.85,0.905,0.69,0.929,0.793,18.86333333,0,0,0,1,1,2,0,0,0,14,7,21,0,0,0,0,0,0,42,14,56,79,76.29,41730
2750,SARGENT RE-33J,7,2,2,98,252,0,9,0.319,17,0.39,370,1,1,1,1,1,1,13.23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19,10,29,30,28.56,37410
2760,HAYDEN RE-1,0,4,9,59,369,2,0,0.167,17,0.38,408,0.955,1,1,0.929,1,1,13.77666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,37,37,33.72,51325
2770,STEAMBOAT SPRINGS RE-2,7,36,19,361,2179,9,48,0.181,17,0.16,2624,0.941,0.941,0.977,0.909,0.977,0.909,15.15428571,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,128,39,167,170,163.55,54064
2780,SOUTH ROUTT RE 3,0,1,2,27,322,1,6,0.103,17,0.47,327,0.958,0.958,0.929,1,0.929,1,12.6475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,33,33,30.67,40078
2790,MOUNTAIN VALLEY RE 1,0,0,6,33,85,0,1,0.32,17,0.75,113,0.857,0.857,0.667,1,0.667,1,8.48,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,10,2,12,15,14.51,34962
2800,MOFFAT 2,2,3,4,17,177,0,29,0.237,17,0.79,218,0.909,0.909,1,0.857,1,0.857,10.775,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,0,0,0,15,5,20,24,21.87,37529
2810,CENTER 26 JT,11,0,1,548,63,0,3,0.899,17,0.97,585,0.778,0.778,0.852,0.722,0.852,0.722,17.09,1,0,1,0,0,0,0,0,0,9,6,15,0,0,0,0,0,0,21,9,30,46,45.69,37002
2820,SILVERTON 1,0,0,0,20,48,0,0,0.294,17,0.65,62,0.5,0.5,0.333,1,0.333,1,6.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11,11,10.77,40084
2830,TELLURIDE R-1,1,4,6,167,704,1,19,0.22,17,0.22,902,0.957,0.957,1,0.912,1,0.912,12.115,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,56,17,73,79,74.72,58403
2840,NORWOOD R-2J,2,1,1,19,214,0,2,0.105,17,0.47,219,1,1,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,20,20,18.38,47349
2862,JULESBURG RE-1,4,4,5,113,363,4,27,0.302,17,0.5,494,0.59,0.663,0.647,0.5,0.706,0.594,15.02,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,28,4,32,34,34.25,41786
2865,REVERE SCHOOL DISTRICT,2,1,0,14,100,0,0,0.145,17,0.68,117,0.9,1,1,0.857,1,1,7.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,16,14.79,36369
3000,SUMMIT RE-1,5,24,42,1250,2139,1,131,0.405,17,0.32,3444,0.95,0.959,0.945,0.955,0.963,0.955,13.97222222,2,0,2,1,1,2,1,1,2,12,4,16,0,0,0,0,0,0,211,42,253,275,248.96,56733
3010,CRIPPLE CREEK-VICTOR RE-1,3,1,8,22,323,1,9,0.12,17,0.66,338,0.72,0.76,0.692,0.75,0.769,0.75,13.005,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,8,29,30,28.24,38094
3020,WOODLAND PARK RE-2,11,21,17,256,2095,3,99,0.163,17,0.3,2387,0.77,0.799,0.788,0.755,0.828,0.773,17.864,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,115,28,143,145,142.69,44423
3030,AKRON R-1,2,5,1,72,277,0,15,0.255,17,0.56,358,0.848,0.879,1,0.737,1,0.789,10.74,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,7,29,30,32.52,34172
3040,ARICKAREE R-2,0,0,0,37,64,0,0,0.366,17,0.51,90,1,1,1,1,1,1,7.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,4,15,16,13.35,35695
3050,OTIS R-3,3,0,6,16,213,0,5,0.123,17,0.57,227,1,1,1,1,1,1,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,20,20,18.49,37424
3060,LONE STAR 101,0,1,0,19,97,1,1,0.185,17,0.46,119,1,1,1,1,1,1,7.196666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,16,16,17.89,30650
3070,WOODLIN R-104,0,0,3,9,94,0,0,0.113,17,0.66,91,1,1,1,1,1,1,10.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17,17,11.03,29356
3080,WELD COUNTY RE-1,15,3,10,1064,816,1,29,0.579,17,0.51,1816,0.867,0.867,0.87,0.864,0.87,0.864,13.93333333,0,0,0,0,0,0,1,0,1,14,2,16,0,0,0,0,0,0,92,31,123,140,137.72,44672
3085,EATON RE-2,3,9,9,468,1386,1,37,0.275,17,0.35,1913,0.959,0.967,0.956,0.962,0.956,0.981,16.206,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,1,0,1,89,25,114,119,115.13,46537
3090,WELD COUNTY SCHOOL DISTRICT RE-3J,6,23,18,1006,1368,2,52,0.447,17,0.38,2297,0.708,0.766,0.836,0.563,0.849,0.672,16.51166667,2,0,2,0,0,0,0,0,0,5,2,7,0,0,0,0,0,0,111,32,143,152,146.22,44202
3100,WINDSOR RE-4,22,83,38,928,5070,1,158,0.195,17,0.15,6121,0.908,0.925,0.928,0.888,0.94,0.911,17.598,0,0,0,3,1,4,0,0,0,11,1,12,0,0,0,1,2,3,290,65,355,374,351.47,49436
3110,JOHNSTOWN-MILLIKEN RE-5J,9,31,26,1117,2622,7,79,0.326,17,0.27,3756,0.876,0.898,0.922,0.839,0.941,0.863,19.77333333,0,0,0,0,0,0,0,0,0,7,6,13,0,0,0,0,0,0,127,55,182,195,194.46,51853
3120,GREELEY 6,67,556,529,13418,7365,54,336,0.67,17,0.64,22219,0.787,0.805,0.842,0.737,0.85,0.764,19.19516129,7,2,9,11,3,14,3,3,6,91,21,112,3,0,3,1,0,1,870,281,1151,1296,1228.08,51592
3130,PLATTE VALLEY RE-7,5,2,1,391,684,0,12,0.375,17,0.33,1095,0.967,0.967,1,0.927,1,0.927,13.29666667,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,66,14,80,82,81.5,49671
3140,WELD COUNTY S/D RE-8,11,17,14,1740,622,2,22,0.744,17,0.68,2252,0.703,0.757,0.779,0.622,0.811,0.7,17.336,1,0,1,1,1,2,1,1,2,18,8,26,0,0,0,0,0,0,83,30,113,144,141.68,47760
3145,AULT-HIGHLAND RE-9,7,1,1,278,613,1,11,0.328,17,0.45,912,0.925,0.962,0.938,0.905,0.969,0.952,14.45333333,1,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,46,13,59,64,62.51,40727
3146,BRIGGSDALE RE-10,0,4,0,18,152,0,2,0.136,17,0.39,161,1,1,1,1,1,1,9.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,20,18.92,41606
3147,PRAIRIE RE-11,0,0,0,12,190,0,3,0.073,17,0.27,195,0.923,1,1,0.857,1,1,11.885,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17,3,20,21,17.29,43544
3148,PAWNEE RE-12,0,0,0,14,73,0,1,0.17,17,0.49,78,1,1,1,1,1,1,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,15,16.86,32637
3200,YUMA 1,0,1,5,453,369,0,3,0.556,17,0.63,771,0.855,0.855,0.964,0.741,0.964,0.741,24.11,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,48,14,62,65,64.21,43328
3210,WRAY RD-2,3,1,0,208,503,0,7,0.303,17,0.58,670,0.824,0.853,0.85,0.786,0.85,0.857,13.17666667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39,13,52,53,53.82,39215
3220,IDALIA RJ-3,5,0,0,48,162,0,1,0.25,17,0.6,201,1,1,1,1,1,1,13.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,19,19,16.14,41745
3230,LIBERTY J-4,0,0,0,9,62,0,1,0.139,17,0.25,59,1,1,1,1,1,1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11,11,10.14,36723
9035,CENTENNIAL BOCES,4,0,1,81,82,1,1,0.518,17,0.07,170,0.432,0.453,0.472,0.407,0.5,0.424,16.05,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,17,3,20,22,19.11,33418
9050,SAN JUAN BOCES,1,0,0,17,40,1,2,0.344,17,0.12,61,0.333,0.667,0.4,0.286,0.6,0.714,488,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,6,7,4,56605
9130,EXPEDITIONARY BOCES,0,10,10,44,285,0,40,0.267,17,0.05,389,0.895,0.895,0.9,0.889,0.9,0.889,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,26,26,29.29,39108
9170,COLORADO DIGITAL BOCES,38,27,145,489,1411,2,134,0.372,17,0.48,2246,0.323,0.391,0.348,0.292,0.404,0.375,35.51,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,49,10,59,63,61.5,40643
8001,CHARTER SCHOOL INSTITUTE,92,561,722,7264,8317,48,551,0.526,17,0.41,17266,0.509,0.519,0.551,0.47,0.557,0.483,21.0402381,1,0,1,25,2,27,14,4,18,71,21,92,0,1,1,10,4,14,616,220,836,989,906.98,41417
9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,0,9,11,84,79,0,13,0.597,17,0.61,188,0.267,0.267,0.25,0.273,0.25,0.273,5.33,0,0,0,0,0,0,2,0,2,2,1,3,0,0,0,0,0,0,27,5,32,37,36.77,51589
10,MAPLETON 1,61,164,195,5453,2622,29,298,0.01,16,0.586,8380,0.646,0.687,0.714,0.573,0.756,0.612,31.94611111,2,0,2,4,2,6,2,4,6,37,8,45,4,0,4,0,0,0,243,76,319,382,373.04,52969
20,ADAMS 12 FIVE STAR SCHOOLS,222,2014,736,15257,19512,44,1033,0.01,16,0.396,37688,0.806,0.816,0.847,0.769,0.855,0.78,21.54461538,3,1,4,23,5,28,8,1,9,123,37,160,1,0,1,10,8,18,"1,428",411,"1,839","2,059",1980.15,59127
30,ADAMS COUNTY 14,53,21,191,6233,871,6,92,0.01,16,0.85,6876,0.658,0.673,0.732,0.59,0.743,0.608,20.57230769,4,0,4,8,1,9,8,2,10,42,21,63,1,1,2,0,0,0,223,74,297,385,379.65,53825
50,BENNETT 29J,8,3,11,239,785,1,42,0.01,16,0.334,1029,0.771,0.786,0.806,0.735,0.806,0.765,13.4775,0,0,0,0,2,2,1,0,1,1,0,1,0,0,0,1,0,1,37,14,51,56,56.89,38758
60,STRASBURG 31J,12,9,12,152,776,5,6,0.01,16,0.269,937,0.831,0.831,0.87,0.791,0.87,0.791,15.17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,47,12,59,60,57.07,43005
100,ALAMOSA RE-11J,28,19,28,1515,703,3,43,0.01,16,0.631,2339,0.796,0.796,0.849,0.721,0.849,0.721,26.89,0,0,0,0,0,0,0,0,0,35,13,48,0,0,0,1,1,2,58,22,80,130,127.52,47666
110,SANGRE DE CRISTO RE-22J,10,1,4,76,202,0,4,0.01,16,0.594,281,1,1,1,1,1,1,12.5,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,16,6,22,25,24.05,38786
120,ENGLEWOOD 1,17,27,74,1121,1381,7,148,0.01,16,0.677,2554,0.538,0.556,0.632,0.46,0.64,0.487,20.95888889,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,143,36,179,185,180.79,53674
123,SHERIDAN 2,11,29,56,1180,198,3,34,0.01,16,0.907,1355,0.691,0.718,0.838,0.616,0.838,0.658,16.242,1,0,1,0,0,0,1,0,1,7,1,8,0,0,0,0,0,0,79,17,96,106,101.98,52164
130,CHERRY CREEK 5,317,4702,6108,10712,29203,142,3631,0.01,16,0.3,53087,0.881,0.891,0.914,0.848,0.922,0.859,20.78584615,7,0,7,39,9,48,50,27,77,138,49,187,1,0,1,49,18,67,"2,143",687,"2,830","3,217",3077.08,69110
140,LITTLETON 6,62,488,190,2702,11388,21,666,0.01,16,0.187,14859,0.9,0.915,0.916,0.885,0.926,0.905,22.12826087,1,0,1,4,0,4,2,2,4,32,6,38,0,0,0,3,1,4,633,189,822,873,839.54,64917
170,DEER TRAIL 26J,0,0,0,52,140,0,4,0.01,16,0.552,172,1,1,1,1,1,1,10.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,19,19,18.36,41396
180,ADAMS-ARAPAHOE 28J,261,2086,7569,22487,7202,289,1903,0.01,16,0.665,39881,0.65,0.66,0.693,0.612,0.7,0.623,23.01590164,2,0,2,33,14,47,63,29,92,142,60,202,5,0,5,30,9,39,"1,477",477,"1,954","2,341",2281.04,54406
190,BYERS 32J,69,27,153,944,1798,6,22,0.01,16,0.396,2980,0.603,0.654,0.632,0.571,0.663,0.643,50.91285714,0,0,0,1,1,2,0,0,0,2,0,2,0,0,0,1,0,1,59,14,73,78,73.91,42803
220,ARCHULETA COUNTY 50 JT,102,19,9,482,912,3,41,0.01,16,0.46,1568,0.848,0.848,0.892,0.81,0.892,0.81,17.9,0,0,0,1,0,1,0,0,0,7,1,8,0,0,0,0,0,0,63,22,85,94,88.52,43670
230,WALSH RE-1,4,0,2,29,130,0,2,0.01,16,0.56,134,0.917,0.917,0.875,1,0.875,1,10.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,16,16.25,38258
240,PRITCHETT RE-3,0,0,0,5,40,0,0,0.01,16,0.579,38,0.889,0.889,1,0.75,1,0.75,5.806666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,10,7.5,34367
250,SPRINGFIELD RE-4,2,0,5,56,243,0,16,0.01,16,0.663,276,0.815,0.815,0.786,0.846,0.786,0.846,12.355,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,16,6,22,24,25.71,34799
290,LAS ANIMAS RE-1,6,7,23,587,539,0,13,0.01,16,0.825,1147,0.767,0.767,0.867,0.667,0.867,0.667,35.91333333,1,0,1,0,0,0,0,1,1,3,5,8,0,0,0,0,0,0,25,6,31,41,40.04,36727
310,MC CLAVE RE-2,0,0,0,0,266,0,6,0.01,16,0.413,242,0.913,0.913,1,0.8,1,0.8,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,22,23,20.73,36825
470,ST VRAIN VALLEY RE 1J,137,1006,273,9540,20452,63,700,0.01,16,0.314,30761,0.848,0.857,0.881,0.815,0.889,0.827,19.25423077,6,0,6,11,4,15,2,6,8,82,19,101,1,0,1,1,0,1,"1,280",400,"1,680","1,812",1774.78,53539
480,BOULDER VALLEY RE 2,111,1747,297,5794,21544,35,1661,0.01,16,0.206,30271,0.925,0.935,0.943,0.906,0.947,0.923,17.75333333,3,1,4,19,6,25,6,7,13,119,38,157,2,0,2,17,7,24,"1,178",417,"1,595","1,820",1696.82,72951
490,BUENA VISTA R-31,5,9,8,122,829,2,23,0.01,16,0.329,910,0.875,0.9,0.951,0.795,0.951,0.846,12.4125,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,52,23,75,77,74.68,42273
500,SALIDA R-32,6,8,7,173,991,0,44,0.01,16,0.351,1168,0.756,0.769,0.805,0.703,0.805,0.73,13.1,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,60,24,84,92,89.46,41189
510,KIT CARSON R-1,0,1,2,21,98,0,4,0.01,16,0.526,114,0.818,0.818,0.75,0.857,0.75,0.857,7.715,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,12,4,16,18,16.44,39590
520,CHEYENNE COUNTY RE-5,0,1,1,23,169,0,0,0.01,16,0.441,170,1,1,1,1,1,1,10.225,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,5,18,19,18.77,38891
540,CLEAR CREEK RE-1,15,9,3,86,707,2,36,0.01,16,0.271,785,0.778,0.796,0.84,0.724,0.84,0.759,13.946,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,46,13,59,63,62.38,40674
550,NORTH CONEJOS RE-1J,5,0,8,533,415,0,2,0.01,16,0.572,963,0.864,0.877,0.881,0.846,0.881,0.872,13.954,0,0,0,0,0,0,0,0,0,16,5,21,0,0,0,0,0,0,32,20,52,73,71.61,42267
560,SANFORD 6J,1,0,0,118,264,0,10,0.01,16,0.588,369,1,1,1,1,1,1,14.895,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,2,15,8,23,27,26.25,41284
580,SOUTH CONEJOS RE-10,4,0,1,191,15,0,1,0.01,16,0.788,212,1,1,1,1,1,1,10.09666667,0,0,0,0,0,0,0,0,0,11,4,15,0,0,0,0,0,0,2,4,6,21,20.5,38814
640,CENTENNIAL R-1,0,0,0,203,12,0,0,0.01,16,0.779,199,0.929,0.929,1,0.833,1,0.833,12.11,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0,0,5,3,8,18,17.75,38461
740,SIERRA GRANDE R-30,0,0,1,203,55,1,7,0.01,16,0.897,263,1,1,1,1,1,1,11.86,0,0,0,0,0,0,0,0,0,7,6,13,0,0,0,0,0,0,6,3,9,22,22.51,35771
770,CROWLEY COUNTY RE-1-J,5,0,8,236,186,0,2,0.01,16,0.73,437,0.947,0.974,0.895,1,0.947,1,14.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,21,8,29,31,31.44,35481
860,CUSTER COUNTY SCHOOL DISTRICT C-1,6,0,7,9,343,0,8,0.01,16,0.496,347,0.879,0.879,0.895,0.857,0.895,0.857,13.13333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,6,28,29,28.42,38178
870,DELTA COUNTY 50(J),36,59,29,1107,3663,5,112,0.01,16,0.565,4713,0.863,0.872,0.874,0.853,0.874,0.87,22.342,2,0,2,1,1,2,0,0,0,5,10,15,0,0,0,0,0,0,190,81,271,290,275.88,42162
880,DENVER COUNTY 1,585,2964,11989,50669,21249,252,3424,0.01,16,0.678,86139,0.672,0.691,0.723,0.62,0.737,0.644,15.23507389,12,4,16,69,22,91,166,86,252,740,256,996,2,3,5,120,46,166,"3,326","1,113","4,439","5,965",6011.34,50701
890,DOLORES COUNTY RE NO.2,4,0,0,18,246,0,5,0.01,16,0.593,246,0.842,0.842,0.857,0.833,0.857,0.833,10.66333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,22,22,21.53,43193
900,DOUGLAS COUNTY RE 1,329,3138,873,9731,50129,85,3185,0.01,16,0.119,65628,0.901,0.913,0.929,0.875,0.941,0.886,20.28956044,0,0,0,40,3,43,10,4,14,4,3,7,0,4,4,1,2,3,"2,677",777,"3,454","3,525",3424.69,52044
910,EAGLE COUNTY RE 50,36,68,36,3565,3072,2,122,0.01,16,0.411,6628,0.794,0.801,0.855,0.731,0.863,0.735,16.02166667,1,0,1,4,1,5,0,0,0,33,5,38,1,0,1,2,0,2,335,93,428,475,451.04,48036
920,ELIZABETH C-1,14,15,11,239,2182,1,73,0.01,16,0.178,2399,0.867,0.872,0.924,0.813,0.924,0.823,50.68625,0,1,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,121,30,151,155,146.97,39258
930,KIOWA C-2,0,1,5,38,229,1,3,0.01,16,0.393,257,1,1,1,1,1,1,13.69333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,21,21,20.4,35138
940,BIG SANDY 100J,5,0,0,24,265,1,11,0.01,16,0.4,280,0.905,0.905,1,0.867,1,0.867,11.89333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18,10,28,29,25.22,41006
950,ELBERT 200,2,1,0,14,191,0,5,0.01,16,0.29,200,1,1,1,1,1,1,9.76,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,16,4,20,22,21.61,35356
970,CALHAN RJ-1,4,4,42,30,356,0,6,0.01,16,0.486,424,0.912,0.912,1,0.8,1,0.8,15.95666667,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,20,9,29,31,28.22,40291
980,HARRISON 2,109,232,1713,5831,2948,122,791,0.01,16,0.761,11746,0.797,0.802,0.863,0.73,0.867,0.734,16.755,4,2,6,10,6,16,30,7,37,22,7,29,4,2,6,10,8,18,490,148,638,750,746.62,42560
